,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
24400,4167,2002-10-15,Jeopardy!,HALLS OF FAME,$400,"""King Me"" if you know that Petal, Mississippi is home to the international hall of fame for this game",checkers,400,,
24498,3320,1999-01-29,Double Jeopardy!,HE WAS IN THAT?,$600,Daniel Day-Lewis played a young hoodlum who accosts Ben Kingsley in this 1982 epic,Gandhi,600,,
24557,3643,2000-06-07,Double Jeopardy!,SHAKESPEAREAN CHARACTERS,"$1,500","It's no surprise that she's a character in ""King John""; she's his mother",Eleanor of Aquitaine,1500,,
24922,3334,1999-02-18,Double Jeopardy!,MOVIE NOSTALGIA,$800,"Nat King Cole sang ""When I Fall In Love"" in the Errol Flynn film named for this Turkish city",Istanbul,800,,
25031,5296,2007-09-24,Double Jeopardy!,CZECH KING,$800,"King Karel IV, known as this in English, was a Prague-matic ruler, starting the city's first golden age",Charles IV,800,,
25070,4903,2005-12-28,Jeopardy!,GET YOUR GROUP TOGETHER,$800,"Visigoth King Alaric II was killed in the 507 Battle of Vouille against Clovis I, King of this group",Franks,800,,
25078,4903,2005-12-28,Jeopardy!,"GOING ""KNOT""S!",$1000,In Greek myth it was the King of Phrygia & father of Midas who tied this knot that no one could untie,the Gordian knot,1000,,
25343,4249,2003-02-06,Double Jeopardy!,PAINTERS,$2000,"Artist Edward Hicks, now known for ""The Peaceable Kingdom"", was famous in life as a preacher for this group",Quakers (Society of Friends),2000,,
25435,4820,2005-07-15,Jeopardy!,IN THE BIBLE,$1000,"In I Kings 2, this man sat ""upon the throne of David his father; and his kingdom was established greatly""",Solomon,1000,,
25497,5123,2006-12-13,Jeopardy!,MOVIES WITHIN MOVIES,$1000,"Andy & Red view the Rita Hayworth film ""Gilda"" in this movie based on a Stephen King tale",The Shawshank Redemption,1000,,
25559,5860,2010-02-19,Double Jeopardy!,NAME THAT MOON,$400,The innermost moon of Uranus is named for this faithful daughter of King Lear,Cordelia,400,,
25703,4819,2005-07-14,Double Jeopardy!,EUROPEAN ART & ARTISTS,$2000,Manhattan's Frick collection is home to a 1644 portrait of King Philip IV by this great Spanish artist,Velazquez,2000,,
25807,2923,1997-04-23,Double Jeopardy!,MONARCHS,$400,"She ascended the British throne in 1837 upon the death of her uncle, King William IV",Queen Victoria,400,,
25813,2923,1997-04-23,Double Jeopardy!,MONARCHS,$600,Saudi Arabia's King Fahd is a half brother of this monarch who was murdered in 1975,King Faisal,600,,
25825,2923,1997-04-23,Double Jeopardy!,MONARCHS,$1000,"Under Communist pressure, this country's King Michael abdicated in 1947 after a 7-year reign",Romania,1000,,
25885,5969,2010-07-22,Double Jeopardy!,THE PULITZER PRIZE FOR POETRY,$2000,"This ""All The King's Men"" novelist won the poetry prize twice, for 1958 & 1979",Robert Penn Warren,2000,,
25921,4662,2004-12-07,Jeopardy!,BODY LANGUAGE,$1000,"King Kalakaua, who helped revive the ancient hula, said hula is this kind of beat ""of the Hawaiian people""",the heart,1000,,
26032,4843,2005-10-05,Jeopardy!,THE NOT-SO-DEADLY SINS,$800,"The Kingdom of Heaven will be thine, even to those who remove the tags from this signature Serta product",the mattress,800,,
26272,6197,2011-07-19,Double Jeopardy!,PETER,$400,"He wrote & directed the most recent incarnation of ""King Kong""",Peter Jackson,400,,
26311,3494,1999-11-11,Jeopardy!,BOOKS & AUTHORS,$300,"""The Gunslinger"" is the first volume of this Stephen King series","""The Dark Tower""",300,,
26581,4975,2006-04-07,Double Jeopardy!,ONE OF THESE NIGHTS,$800,"He's heard <a href=""http://www.j-archive.com/media/2006-04-07_DJ_22.mp3"">here</a> in a speech the night of Martin Luther King's murder  <i>""What we need in the United States is not violence and lawlessness, but is love, and wisdom, and compassion toward one another.""</i>",Robert F. Kennedy,800,,
27012,2736,1996-06-24,Double Jeopardy!,BIRDS,$600,The Emperor and King species of this bird lay one egg: the others normally lay two,a penguin,600,,
27017,2736,1996-06-24,Double Jeopardy!,COLLEGES & UNIVERSITIES,$800,"Well known colleges of this university are King's, Churchill & St. John's",Cambridge,800,,
27249,5793,2009-11-18,Double Jeopardy!,ART HISTORY,$1200,"(<a href=""http://www.j-archive.com/media/2009-11-18_DJ_12.jpg"" target=""_blank"">Kelly of the Clue Crew shows a painting on the monitor.</a>)  Edward Hicks' ""Peaceable Kingdom"" depicts a verse by Isaiah that begins, <a href=""http://www.j-archive.com/media/2009-11-18_DJ_12a.jpg"" target=""_blank"">""The wolf shall dwell with the lamb""</a>; the meaning is amplified by the inclusion of <a href=""http://www.j-archive.com/media/2009-11-18_DJ_12b.jpg"" target=""_blank"">this</a> Quaker colony founder making a treaty with Native Americans",(William) Penn,1200,,
27319,5887,2010-03-30,Double Jeopardy!,"""W""RITERS",$2000,"He adapted ""Le Morte D""Arthur"" into a quartet of novels called ""The Once and Future King""",(T.H.) White,2000,,
27362,2339,1994-11-03,Double Jeopardy!,WORLD HISTORY,$400,"Until a 1969 coup by Muammar al-Qaddafi, King Idris had ruled this country for 18 years",Libya,400,,
27543,1799,1992-05-28,Double Jeopardy!,HISTORIC IN-LAWS,$200,King Manuel of Portugal married not 1 but 2 daughters of this famous Spanish pair,Ferdinand & Isabella,200,,
27555,1799,1992-05-28,Double Jeopardy!,HISTORIC IN-LAWS,$600,This member of the Medici family was the mother-in-law of England's King Charles I,Marie de Medici,600,,
28034,4955,2006-03-10,Double Jeopardy!,ALL THAT JAZZ,$2000,"This bandleader was the ""King of Hi-De-Ho""",Cab Calloway,2000,,
28159,2756,1996-09-02,Jeopardy!,U.S. GEOGRAPHY,$100,This city is the seat of Washington's King County,Seattle,100,,
28194,2756,1996-09-02,Double Jeopardy!,ACTORS & ACTRESSES,$400,"She's played 2 Stephen King characters on film: Annie Wilkes in ""Misery"" & ""Dolores Claiborne""",(Kathy) Bates,400,,
28196,2756,1996-09-02,Double Jeopardy!,CLASSICAL MUSIC,$400,"Although known as ""The Waltz King"", he also wrote numerous marches & polkas",(Johann) Strauss,400,,
28327,6172,2011-06-14,Double Jeopardy!,GREAT LAKES,$1600,Singer/bassist Greg Lake left King Crimson to form this progressive rock supergroup with 2 other guys,"Emerson, Lake & Palmer",1600,,
28424,5885,2010-03-26,Jeopardy!,EUROPEAN CAPITAL HAIKU,$1000,Good King Wenceslas / Bohemian lifestyle / Czech out its churches,Prague,1000,,
28564,4752,2005-04-12,Double Jeopardy!,KING ME,$1200,"In 1886 this ""Mad"" Bavarian King was declared insane; he drowned a few days later",Ludwig (II),1200,,
28704,5923,2010-05-19,Final Jeopardy!,OPERA,None,"The aria ""Pour mon ame"" by Donizetti includes 9 of these; a few tenors have earned the nickname ""King of"" them",high Cs,0,,
28827,6049,2010-12-23,Jeopardy!,GILT BY ASSOCIATION,$200,"If you're in London & looking for a gilt effigy of King Edward III, try this building",Westminster Abbey,200,,
28912,4105,2002-06-07,Jeopardy!,I MADE IT THROUGH THE REIGN,$1000,"Otto, who ruled Greece from 1832 to 1862, was the son of King Ludwig of this German state",Bavaria,1000,,
29167,5605,2009-01-09,Double Jeopardy!,OLD KING,$1200,"Born around 1274, this King of Scotland battled the English armies of Edward II",Robert the Bruce,1200,,
29173,5605,2009-01-09,Double Jeopardy!,OLD KING,$1600,Italy's King Humbert I is also known by this Italian name,Umberto,1600,,
29329,3026,1997-10-27,Jeopardy!,THE REVOLUTIONARY WAR,$500,This British nobleman was King George III's chief minister throughout the American Revolution,Lord North,500,,
29488,2122,1993-11-23,Jeopardy!,THE 1480s,$200,"Organized by King Henry VII in 1485, this unit of royal protectors now performs ceremonial duties",Yeomen of the Guard,200,,
29671,5383,2008-01-23,Jeopardy!,"ITOS, TITOS & FRITOS",$400,"The ""King of Mambo"", his songs include ""Ran Kan Kan"" & ""Oye Como Va""",Tito Puente,400,,
29827,4761,2005-04-25,Double Jeopardy!,PULITZER PRIZE-WINNING AUTHORS,$1600,"""All the King's Men""",Robert Penn Warren,1600,,
29864,2931,1997-05-05,Double Jeopardy!,THE ELEMENTS,$200,Around 3600 B.C. King Menes of Egypt set this precious metal's value at two-fifths that of gold,Silver,200,,
29941,4494,2004-03-04,Double Jeopardy!,19th CENTURY LITERATURE,$1600,"""The Wept of Wish-Ton-Wish"" is this author's 1829 novel about King Philip's War",James Fenimore Cooper,1600,,
30080,4802,2005-06-21,Jeopardy!,KING JAMES BIBLE BEASTS,$400,I Kings 10 tells us that these were imported from Egypt at 150 shekels each, the chariots were extra,horses,400,
30134,6147,2011-05-10,Jeopardy!,O POURI,$200,"Though spelled differently than her BFF, Ms. King, this is Oprah's middle name",Gail,200,,
30165,6147,2011-05-10,Double Jeopardy!,GOING FOR BAROQUE,$400,"King George II began the tradition of rising when hearing this chorus in Handel's ""Messiah""","the ""Hallelujah Chorus""",400,,
30383,3178,1998-05-27,Jeopardy!,TO GRANDMOTHER'S HOUSE WE GO,$200,"Grandma collects this man's albums & has read his memoir ""The Kingdom Of Swing"" 25 times",Benny Goodman,200,,
30393,3178,1998-05-27,Jeopardy!,OVER THE RIVER,$500,"River crossed by the Allenby, or King Hussein, Bridge",Jordan River,500,,
30425,3178,1998-05-27,Double Jeopardy!,BEFORE & AFTER,$800,King Kong plunges from Edward Gibbon's massive history,"""The Decline & Fall of the Roman Empire State Building""",800,,
30475,4979,2006-04-13,Double Jeopardy!,MELANCHOLY SITES OF FORMER GRANDEUR,$1200,"(<a href=""http://www.j-archive.com/media/2006-04-13_DJ_13.jpg"" target=""_blank"">Jimmy of the Clue Crew gives the clue from the Valley of the Kings in Egypt.</a>)  With more than 60 known tombs, the Valley of the Kings was part of this ancient city the Greeks called Diaspolis",Thebes,1200,,
30489,4979,2006-04-13,Double Jeopardy!,FINISH THE SHAKESPEARE TITLE,$2000,"""The Third Part of King...""",Henry VI,2000,,
30533,6152,2011-05-17,Double Jeopardy!,THINGS,$800,"Historians believe the face of this 66'-high landmark represents King Khafre, but we're pretty sure the king had a nose",the Sphinx,800,,
30584,5612,2009-01-20,Double Jeopardy!,ITALIAN HISTORY,$400,In 1866 citizens of this northern city-state voted to join the Kingdom of Italy,Venice,400,,
30825,6016,2010-11-08,Double Jeopardy!,POETIC PLACES,$400,"In ""Idylls of the King"" Tennyson calls this place ""the mighty hall that Merlin built""",Camelot,400,,
30961,3725,2000-11-10,Double Jeopardy!,WOMEN IN HISTORY,$800,"King Henry VIII's first wife, Catherine of Aragon, was the daughter of this famous queen",Isabella,800,,
31187,1532,1991-04-09,Double Jeopardy!,AMERICAN LITERATURE,$200,"“Men in White”, which won the Pulitzer Prize in 1934, is a Sidney Kingsley play about this profession",medicine,200,,
31210,1532,1991-04-09,Double Jeopardy!,ALPHABET SOUP,$800,The King James Bible is sometimes abbreviated KJV & sometimes denoted by these 2 letters,AV (for authorized version),800,,
31242,6060,2011-01-07,Jeopardy!,THE SPIRIT OF ST. LOUIS,$1000,"He was director of the St. Louis Zoo in 1962 when he began working on ""Mutual of Omaha's Wild Kingdom""",Marlin Perkins,1000,,
31326,5708,2009-06-03,Double Jeopardy!,"JOHNNY, TELL THEM WHAT THEY'VE WON",$1200,"<a href=""http://www.j-archive.com/media/2009-06-03_DJ_28.mp3"">You've won a case of sunscreen for your vacation to this kingdom formed by a man who named himself King of al-Hijaz</a>",Saudi Arabia,1200,,
31530,5681,2009-04-27,Jeopardy!,IMBIBLERS,$400,"In 1 Kings, the Syrian kings are getting drunk when the soldiers of this nation slaughter them",Israel,400,,
32049,5978,2010-09-15,Jeopardy!,CABLE GUYS,$400,Jonathan Rhys Meyers as King Henry VIII,The Tudors,400,,
32689,3269,1998-11-19,Double Jeopardy!,DOCUMENTARIES,$800,"Type of graveyard that's the subject of the documentary ""Gates Of Heaven"" & of a Stephen King book",Pet Cemetery,800,,
32958,3886,2001-06-25,Jeopardy!,THE SOUTHERNMOST CAPITAL CITY,$500,"Kingston, Havana, Nassau",KIngston,500,,
33133,4081,2002-05-06,Double Jeopardy!,EUROPEAN HISTORY,$400,In 1536 King Christian III established this protestant denomination as Denmark's state religion,Lutheranism,400,,
33156,4081,2002-05-06,Double Jeopardy!,"YOU'VE GOT A ""TUDE"", MISTER",$1600,"King Lear speaks of ""filial"" this, which caused him grief",ingratitude,1600,,
33294,5589,2008-12-18,Jeopardy!,THE BAYEUX TAPESTRY,$600,"(Sarah of the Clue Crew delivers the clue from the Bayeux Cathedral in France.)  Despite taking an oath to assure another succession, Harold is crowned King of England; the tapestry indicated it was <a href=""http://www.j-archive.com/media/2008-12-18_J_08.jpg"" target=""_blank"">Stigant</a>, this archbishop, who performed the ceremony",the Archbishop of Canterbury,600,,
33298,5589,2008-12-18,Jeopardy!,SANTA'S COMING,$800,"I won't be using the Broil King Sovereign XLS 80 one of these until summer, but I can't wait to get it anyway",a grill (or barbecue),800,,
33331,5589,2008-12-18,Double Jeopardy!,PRESIDENTIAL SURNAMES,$1600,This archaeologist opened the fabulous tomb of King Tut in 1922,(Howard) Carter,1600,,
33592,3441,1999-07-19,Jeopardy!,SIMPLY SIMON,$300,"Starring Ben Kingsley, ""Murderers Among Us"" was a TV biography of this Nazi hunter",Simon Wiesenthal,300,,
33719,4191,2002-11-18,Jeopardy!,SHAKESPEARE,"$1,000","King Claudius commissions these 2 minor characters, Hamlet's schoolmates, to spy on Hamlet",Rosencrantz & Guildenstern,1000,,
33978,1985,1993-04-02,Double Jeopardy!,THE MIDDLE EAST,$400,In 1988 King Hussein surrendered this country's claim to the disputed West Bank,Jordan,400,,
34169,5904,2010-04-22,Double Jeopardy!,TV,$1600,"In 2009 ""King of the Hill"" started a run on this ""athletic"" portion of the Cartoon Network schedule",Adult Swim,1600,,
34352,3089,1998-01-22,Jeopardy!,RELIGION,$100,The Falasha Jews of Ethiopia claim descent from King Solomon & this woman,Sheba,100,,
34480,5478,2008-06-04,Jeopardy!,RELIGIOUS NUMBERS,$400,"The number of times the words ""apple"" & ""snake"" appear in the King James Version of Genesis",0,400,,
34496,5478,2008-06-04,Jeopardy!,CELEBRITY LIVES,$1000,"""Long Live the King"" & a book subtitled ""Portrait of A Misfit"" are bios of this legendary actor",Clark Gable,1000,,
34676,3217,1998-09-08,Jeopardy!,IT'S MILLER TIME,$400,"This Tony Award winner had hits with ""Do-Wacka-Do"" & ""King of the Road""",Roger Miller,400,,
34694,3217,1998-09-08,Double Jeopardy!,INTELLIGENCE,$400,"Knowing he'd need more than a slingshot, he spied on King Saul in the wilderness of Ziph",David,400,,
34878,3511,1999-12-06,Double Jeopardy!,BALLET,$600,"Salvador Dali created the story, sets & costumes for ""Bacchanale"", an odd ballet about this ""Mad King""",Ludwig,600,,
34936,3140,1998-04-03,Double Jeopardy!,ORGANIZATIONS,$600,"IN 1997, Martin Luther King III was elected president of this group, the SCLC; Dad would have been proud",the Southern Christian Leadership Conference,600,,
35045,5183,2007-03-07,Double Jeopardy!,A WALK ACROSS THE CHARLES BRIDGE,$400,"(<a href=""http://www.j-archive.com/media/2007-03-07_DJ_01.jpg"" target=""_blank"">Sarah of the Clue Crew stands on the Charles Bridge in Prague, Czech Republic.</a>)  St. Norbert & St. Sigmund are portrayed with <a href=""http://www.j-archive.com/media/2007-03-07_DJ_01a.jpg"" target=""_blank"">this</a> Good King; all three are Czech patron saints",Wenceslas,400,,
35059,5183,2007-03-07,Double Jeopardy!,1980s BESTSELLERS,"$2,000","Of all of Stephen King's bestsellers, this hefty novel from 1986 has the shortest title",It,2000,,
35105,3771,2001-01-15,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$200,"(Hi, I'm Yolanda King)  In 1963 my father delivered his ""I Have A Dream"" speech before this monument in Washington, D.C.",Lincoln Memorial,200,,
35111,3771,2001-01-15,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$400,"(Hi, I'm Reverend Bernice A. King)  As an advocate of nonviolence, my father, Martin Luther King, Jr., embraced the philosophy & teachings of this Indian leader",Mahatma Gandhi,400,,
35117,3771,2001-01-15,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$600,"(Hi, I'm Christine King Farris)  As a student at Morehouse College, my brother was inspired by this writer's essay on ""Civil Disobedience""",Henry David Thoreau,600,,
35123,3771,2001-01-15,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$800,"(Hi, I'm Martin Luther King III)  In 1998 I became president of this organization co-founded by my father & known as the SCLC for short",Southern Christian Leadership Conference,800,,
35129,3771,2001-01-15,Double Jeopardy!,"MARTIN LUTHER KING, JR.",$1000,"(Yolanda King speaking)  In 1960 my father, MLK Jr., joined my grandfather as co-pastor of this Baptist church in Atlanta",Ebenezer Baptist Church,1000,,
35579,4930,2006-02-03,Jeopardy!,NBA TEAMS IN OTHER WORDS,"$1,000",The King Charles I supporters,the (Cleveland) Cavaliers,1000,,
35584,4930,2006-02-03,Double Jeopardy!,ROYALTY & BALLET,$400,King Gustav III of this country founded a ballet company in 1773, it's still going strong today,Sweden,400,
35689,3575,2000-03-03,Jeopardy!,STORY OF MY LIFE,$300,"1939: ""The Kingdom of Swing""",Benny Goodman,300,,
35875,2951,1997-06-02,Jeopardy!,PEOPLE IN HISTORY,$500,This country's King Harold III was the half-brother of St. Olaf,Norway,500,,
36247,5430,2008-03-28,Double Jeopardy!,ALMOST BEFORE & AFTER,$800,This rabid Stephen King dog has been coachin' Penn State since 1966,Cujo Paterno,800,,
36255,5430,2008-03-28,Double Jeopardy!,"STARS, NOT CARS",$1600,"Either of the 2 actresses who won Oscars for ""All the King's Men"" or ""The Fisher King""",Mercedes Ruehl (or Mercedes McCambridge),1600,,
